from_id,from_label,to_id,to_label,type,source
Q1071961,Chicago house,Q58339,disco,parent,genregenealogy
Q341364,acid house,Q1071961,Chicago house,parent,genregenealogy
Q874038,deep house,Q1071961,Chicago house,parent,genregenealogy
Q928825,garage house,Q1071961,Chicago house,parent,genregenealogy
Q20502,house music,Q1071961,Chicago house,parent,genregenealogy
Q915152,progressive house,Q20502,house music,parent,genregenealogy
Q915152,progressive house,Q170611,techno,parent,genregenealogy
Q780517,speed garage,Q928825,garage house,parent,genregenealogy
Q780517,speed garage,Q874038,deep house,parent,genregenealogy
Q1455292,French house,Q20502,house music,parent,genregenealogy
Q1455292,French house,Q58339,disco,parent,genregenealogy
Q627906,electro house,Q1455292,French house,parent,genregenealogy
Q598593,tech house,Q170611,techno,parent,genregenealogy
Q598593,tech house,Q20502,house music,parent,genregenealogy
Q851213,electronic dance music,Q627906,electro house,parent,genregenealogy
Q851213,electronic dance music,Q915152,progressive house,parent,genregenealogy
Q526463,Detroit techno,kraftwerk,Kraftwerk,parent,genregenealogy
Q526463,Detroit techno,Q744417,Italo disco,parent,genregenealogy
Q526463,Detroit techno,Q1071961,Chicago house,parent,genregenealogy
Q526463,Detroit techno,Q217597,electro,parent,genregenealogy
Q170611,techno,Q526463,Detroit techno,parent,genregenealogy
Q170435,trance,Q341364,acid house,parent,genregenealogy
Q170435,trance,Q170611,techno,parent,genregenealogy
Q1430587,minimal techno,Q170611,techno,parent,genregenealogy
Q9149801,ambient techno,Q170611,techno,parent,genregenealogy
uk-rave,UK Rave,Q341364,acid house,parent,genregenealogy
Q1585075,breakbeat hardcore,uk-rave,UK Rave,parent,genregenealogy
Q1585075,breakbeat hardcore,Q341364,acid house,parent,genregenealogy
Q1102161,jungle,Q1585075,breakbeat hardcore,parent,genregenealogy
Q339906,happy hardcore,Q1585075,breakbeat hardcore,parent,genregenealogy
Q188994,drum and bass,Q1102161,jungle,parent,genregenealogy
Q1165777,UK garage,Q1102161,jungle,parent,genregenealogy
liquid-dnb,Liquid DnB,Q188994,drum and bass,parent,genregenealogy
Q1165777,UK garage,Q20502,house music,parent,genregenealogy
Q1165777,UK garage,Q928825,garage house,parent,genregenealogy
Q1165777,UK garage,Q780517,speed garage,parent,genregenealogy
Q188994,drum and bass,Q1165777,UK garage,influence,genregenealogy
trip-hop,Trip Hop,Q1165777,UK garage,influence,genregenealogy
Q1751409,2-step garage,Q1165777,UK garage,parent,genregenealogy
Q1166726,grime,Q1165777,UK garage,parent,genregenealogy
Q20474,dubstep,Q1165777,UK garage,parent,genregenealogy
Q4846346,bassline,Q1165777,UK garage,parent,genregenealogy
Q5510816,future garage,Q1165777,UK garage,parent,genregenealogy
Q20903,brostep,Q20474,dubstep,parent,genregenealogy
Q2346991,UK bass,Q20474,dubstep,parent,genregenealogy
Q20903,brostep,Q851213,electronic dance music,influence,genregenealogy
Q5510816,future garage,Q2346991,UK bass,influence,genregenealogy
Q663519,breakbeat,Q58339,disco,parent,genregenealogy
