id,label
Q100922002,budots
Q101109587,future rave
Q10268931,dubwise drum and bass
Q1027999,vocal trance
Q10286190,full-on
Q10293901,Hardcore Continuum
Q1033912,hard dance
Q10360435,rhythm & grime
Q104602773,tanzhammer-pop
Q1046920,Dōjin music
Q105404852,hi-tech psytrance
Q10541010,Jtek
Q105527,jazz fusion
Q105636937,experimental techno
Q105636940,leftfield house
Q105637110,jazz house
Q105672644,electro-jazz
Q105763581,experimental electronic music
Q106130091,post-dubstep
Q106369996,wave
Q106388388,hardwave
Q106404229,melodic dubstep
Q106404300,minimal drum and bass
Q106423092,tracker music
Q106477753,midtempo bass
Q106493832,slap house
Q106514601,glitch hop (EDM)
Q106520965,nerdcore techno
Q106521662,deep techno
Q106521759,funky breaks
Q106522080,bleep techno
Q106522098,ballroom
Q106522190,scouse house
Q106522238,techno bass
Q106528337,acid
Q106528420,deathstep
Q106547179,Bahia house
Q106576141,ghetto club
Q106576170,tribal music
Q106576261,bérite club
Q106577108,hard beat
Q106577542,kawaii future bass
Q106588687,music of Central Africa
Q106591506,bubblegum bass
Q106594102,Philly club
Q106594174,uptempo hardcore
Q106594523,Latin freestyle
Q106634926,future bounce
Q106634944,festival progressive house
Q106636283,jungle dutch
Q106636289,breakbeat kota
Q106653596,ambient breakbeat
Q106654239,weightless
Q106876075,bubbling
Q106922571,cybergoth music
Q107010574,halftime
Q107090501,Chicago hard house
Q107091813,East Coast club
Q1071961,Chicago house
Q107332291,dancefloor drum and bass
Q107407607,hard trap
Q107697041,g-house
Q107697201,hard drum
Q107697221,hardgroove techno
Q107697234,HexD
Q108197774,colour bass
Q108297187,balani show
Q108297194,batida
Q108297203,bubbling house
Q108297232,doskpop
Q108297238,euphoric hardstyle
Q108297243,flex dance music
Q108321657,jackin' house
Q108555812,lo-fi house
Q10856835,wonky techno
Q108610259,circuit house
Q108610706,Detroit house
Q108716407,skullstep
Q108831582,big room trance
Q1091450,aggrotech
Q109146989,piano house
Q109148913,organic house
Q109322851,mashcore
Q109335331,dungeon sound
Q109378734,popcorn music
Q109469638,indie dance
Q109538574,vinahouse
Q109589387,manyao
Q109713720,minatory
Q109713845,classic psytrance
Q109713928,tribal psytrance
Q109713947,offbeat psytrance
Q109714050,uplifting psy
Q109714084,twilight psytrance
Q109714096,forest psytrance
Q109715091,morning psytrance
Q109715837,zenonesque
Q109753757,twerk
Q109873537,dark disco
Q1100989,glitch
Q110101956,eletrofunk
Q110127020,tranceira
Q110185782,melodic techno
Q1102161,jungle
Q110226234,red disco
Q1102871,clownstep
Q110391587,Vocaloid music
Q110526770,dark progressive house
Q110526823,progressive electro house
Q110527222,experimental club music
Q110584468,experimental electro
Q110584483,industrial drum and bass
Q110584608,neo-electro
Q110874814,West Coast breaks
Q110967939,footwork jungle
Q111182811,peak time techno
Q111442385,Japanese artcore
Q111540473,experimental jungle
Q111628716,festival trap
Q111653578,hybrid trap
Q111678759,guaracha
Q111804002,deep drum and bass
Q111971785,heaven trap
Q111971801,LA hard house
Q112663444,Belgian hardcore techno
Q112829330,deep tech
Q112997482,drift phonk
Q11312853,splittercore
Q11332204,funkot
Q11334714,breaktrance
Q113493820,French electro
Q113510667,artcore
Q113600471,hardtek
Q1136045,wonky
Q113621229,future core
Q1136765,uplifting trance
Q11401,hip-hop
Q114107195,psycore
Q114238485,meme techno
Q114443489,partyschlager
Q114594005,rawphoric
Q114743580,psystyle
Q114809047,anthem trance
Q114878405,electro-techno
Q114878571,speed house
Q114880124,US bass music
Q114880130,bass music (EDM)
Q115690999,future riddim
Q115890848,epadunk
Q116296482,melodic house
Q1165777,UK garage
Q1166321,darkstep
